id,1,2,3,4,5,6,7,8,9,10
D7lQbwfZ,6,7,9,5,2,8,3,1,4,10
oAwoQj0Z,5,6,4,9,2,8,7,10,1,3
Eu9nc7sK,7,2,6,9,3,10,5,1,4,8
XBfHtNvs,5,4,10,2,8,7,6,1,3,9
7H5WXXz9,9,10,7,6,3,8,5,1,4,2
lN2nhAmf,3,6,5,10,2,7,4,8,9,1
LFiqZJ8f,9,7,5,6,1,10,4,3,2,8
GyEf4a7p,9,2,10,8,1,3,6,5,4,7
k050ye4K,7,4,9,5,3,10,6,2,1,8
0xt5izzL,10,7,1,2,8,5,4,6,9,3
AxnVVUmz,2,1,5,3,4,7,10,8,6,9
RSrmd57b,2,3,9,10,4,1,6,7,5,8
Bzvtv85b,9,4,8,1,3,6,5,10,2,7
5AdjFlxI,6,3,7,8,5,2,9,4,10,1
513ZlIoZ,3,6,1,2,4,7,9,8,10,5
2tzbADI5,5,6,1,3,2,8,7,9,4,10
DG9GzalT,1,7,9,6,4,3,2,8,5,10
6HozLl2n,8,2,9,7,5,3,4,1,6,10
bWGX6f8a,10,3,7,9,2,4,1,5,8,6
020xrq89,5,10,2,6,9,4,1,7,8,3
EB0nQeGf,5,2,9,1,6,10,8,4,3,7
bGODHkd6,5,8,2,6,7,1,3,9,4,10
VYp1EyRW,5,8,3,6,2,1,7,4,10,9